income,credit_score,loan_amount,points,loan_approved
149016,823,40645,90.0,True
79192,379,18702,45.0,False
81990,641,18907,60.0,True
123718,687,7881,80.0,True
55995,588,37145,50.0,False
39961,712,32251,50.0,False
107607,687,38195,75.0,True
120520,768,12999,90.0,True
138864,612,42656,60.0,True
112213,395,11820,55.0,False
61830,734,45370,60.0,True
43356,307,47803,25.0,False
121382,836,15750,95.0,True
131250,682,8420,85.0,True
69529,571,14963,30.0,False
141449,336,31346,55.0,False
119687,409,1337,60.0,True
108697,841,34706,85.0,True
135582,683,20613,80.0,True
45866,465,10166,35.0,False
134363,341,9760,60.0,True
104177,572,8785,60.0,True
132581,434,8191,55.0,False
35383,650,29158,40.0,False
75508,553,41475,35.0,False
99827,739,14003,75.0,True
86148,452,16032,45.0,False
116706,504,6959,50.0,False
78571,790,5020,90.0,True
39038,728,17185,50.0,False
96317,586,40749,50.0,False
114874,313,45758,50.0,False
74725,841,40630,75.0,True
31658,342,39440,25.0,False
141355,506,35967,45.0,False
85057,655,24986,60.0,True
137784,322,11940,60.0,True
94251,707,33442,70.0,True
43833,710,40794,50.0,False
86822,837,17962,90.0,True
77472,543,20126,35.0,False
113307,352,43101,50.0,False
146860,570,48322,45.0,False
138620,524,48872,50.0,False
90258,563,42040,40.0,False
122708,704,11200,85.0,True
50052,770,13125,75.0,True
87080,481,26834,45.0,False
53086,402,48468,35.0,False
126180,313,43236,40.0,False
98386,646,47363,50.0,False
115256,639,32385,60.0,True
65400,603,7721,60.0,True
110728,694,10658,85.0,True
135932,803,12112,95.0,True
100539,386,3840,60.0,True
131533,608,41944,65.0,True
93372,302,10741,45.0,False
90931,737,48625,65.0,True
87091,734,32541,70.0,True
138230,809,36307,90.0,True
125817,389,16413,55.0,False
107656,361,23894,55.0,False
65179,731,16892,65.0,True
72245,734,25358,55.0,False
141635,444,6176,60.0,True
62177,443,35566,35.0,False
138885,332,40595,50.0,False
41359,813,21056,65.0,True
66559,516,27240,35.0,False
145557,620,43775,65.0,True
89087,406,6099,55.0,False
61963,366,14887,45.0,False
128366,546,18640,50.0,False
90910,395,21224,35.0,False
104691,432,47049,40.0,False
109997,691,32257,75.0,True
117580,537,15132,50.0,False
79674,647,20060,60.0,True
74092,456,38152,35.0,False
33761,810,7167,75.0,True
94789,391,5661,55.0,False
141536,443,9124,60.0,True
72600,621,25489,50.0,False
53834,550,46858,35.0,False
93904,374,15617,50.0,False
57802,411,6624,45.0,False
76507,366,21793,45.0,False
134573,459,31799,50.0,False
63862,740,32025,70.0,True
74608,385,10288,35.0,False
66655,519,44885,35.0,False
145385,468,14015,60.0,True
108139,698,1650,85.0,True
121905,624,1929,70.0,True
145357,569,35124,40.0,False
66211,730,46642,60.0,True
102848,314,25265,55.0,False
31330,723,27895,50.0,False
97715,769,29074,80.0,True
55042,590,47012,50.0,False
41221,316,41387,25.0,False
61635,333,44759,35.0,False
124381,427,23977,55.0,False
83271,529,34263,40.0,False
94038,724,3141,65.0,True
102768,740,16848,90.0,True
129374,431,42698,50.0,False
61499,429,34046,30.0,False
120519,630,14353,65.0,True
92402,380,38473,40.0,False
114659,604,13702,70.0,True
123302,581,6437,70.0,True
94332,409,10295,50.0,False
88743,700,7597,80.0,True
133931,621,42520,65.0,True
32260,795,41239,60.0,True
42196,323,34947,25.0,False
68566,525,6468,45.0,False
59045,778,49837,70.0,True
83005,702,7743,80.0,True
120673,756,28770,90.0,True
61890,661,25507,50.0,False
70135,843,24085,80.0,True
117026,520,44054,50.0,False
106225,518,31498,50.0,False
78368,839,15251,85.0,True
92031,745,21826,85.0,True
102544,763,12215,90.0,True
99588,304,31262,45.0,False
75056,781,7233,90.0,True
85771,805,41129,70.0,True
127771,329,15681,45.0,False
102140,495,48455,45.0,False
73357,376,18283,45.0,False
76112,422,9276,50.0,False
122124,834,35576,90.0,True
89473,531,7016,55.0,False
65509,510,46545,25.0,False
70189,492,32958,30.0,False
62951,764,43945,65.0,True
60217,825,14305,85.0,True
45814,404,10652,35.0,False
124540,787,44377,85.0,True
55242,706,33911,60.0,True
71359,498,20267,40.0,False
45670,351,43358,25.0,False
127370,844,7621,100.0,True
100236,574,33451,50.0,False
129901,489,33980,50.0,False
120461,371,11921,60.0,True
54267,481,18290,30.0,False
55105,301,33001,35.0,False
58361,815,11964,80.0,True
126810,563,44477,50.0,False
93464,795,8389,90.0,True
66241,665,33625,35.0,False
124972,498,25758,55.0,False
107278,479,18387,55.0,False
129641,832,46995,90.0,True
98765,810,45926,75.0,True
108222,366,20315,40.0,False
67093,740,24085,60.0,True
43176,446,49041,25.0,False
139134,695,28693,80.0,True
55443,746,45493,70.0,True
68829,504,20730,40.0,False
59816,747,7294,75.0,True
77301,777,28558,80.0,True
53519,609,16902,55.0,False
69618,428,27407,25.0,False
31854,641,39950,35.0,False
122801,354,46978,50.0,False
100010,458,20719,55.0,False
46591,417,5400,20.0,False
65954,325,34148,35.0,False
35965,566,41157,25.0,False
37146,474,34522,25.0,False
102529,700,26285,70.0,True
68290,698,1722,75.0,True
121411,442,31664,50.0,False
46551,837,26599,65.0,True
113606,585,44151,65.0,True
143830,484,38751,50.0,False
128669,656,39305,65.0,True
94340,408,33730,45.0,False
43446,478,48720,25.0,False
144389,752,25531,90.0,True
31607,504,13826,25.0,False
105243,388,39149,35.0,False
67268,717,38243,60.0,True
91524,785,33823,80.0,True
92746,372,38299,35.0,False
87733,638,2477,70.0,True
74657,461,19878,30.0,False
54164,413,39192,35.0,False
36734,642,4892,45.0,False
63092,336,23665,30.0,False
142947,577,48404,40.0,False
92616,533,2405,45.0,False
44953,793,4417,75.0,True
137756,748,8732,95.0,True
38564,310,15884,25.0,False
82521,358,6020,45.0,False
94454,599,9501,65.0,True
39710,806,47219,65.0,True
105631,599,43837,60.0,True
112502,797,19335,85.0,True
119974,515,9044,60.0,True
37026,764,8486,55.0,False
49887,807,2235,80.0,True
49555,353,44280,25.0,False
136318,521,2792,60.0,True
103772,594,36046,65.0,True
69824,778,49865,70.0,True
41164,602,23120,40.0,False
62530,427,21112,40.0,False
45525,309,31568,15.0,False
103147,381,19117,55.0,False
130197,565,33435,45.0,False
84548,488,45855,40.0,False
109471,565,17871,40.0,False
108135,379,34222,50.0,False
133643,373,43066,50.0,False
111057,683,31846,75.0,True
59581,516,21519,40.0,False
131671,333,44061,45.0,False
98494,728,36321,65.0,True
79856,751,21770,80.0,True
89049,536,30872,45.0,False
149079,670,43816,75.0,True
88028,717,45178,65.0,True
68974,718,28592,60.0,True
142743,423,28435,55.0,False
107139,324,46222,45.0,False
86207,547,47660,40.0,False
70026,759,27796,75.0,True
104531,821,6491,95.0,True
111399,480,34336,50.0,False
37894,830,35419,65.0,True
109905,446,3748,60.0,True
127004,469,8769,60.0,True
43006,408,16183,30.0,False
129973,340,36378,50.0,False
57235,736,48978,60.0,True
111987,755,29328,85.0,True
57659,376,22437,40.0,False
64687,743,7582,80.0,True
116563,440,39426,50.0,False
40641,808,19520,60.0,True
50585,802,37551,75.0,True
61439,540,42793,35.0,False
52782,801,42289,75.0,True
102350,594,28498,65.0,True
39838,655,46676,40.0,False
50517,329,20066,40.0,False
30350,625,27950,40.0,False
83545,647,42698,45.0,False
89048,412,41193,40.0,False
120357,661,37234,55.0,False
107832,705,48043,70.0,True
91592,313,3364,40.0,False
68175,608,2588,65.0,True
34278,434,49531,25.0,False
60340,455,7262,45.0,False
67762,824,49724,60.0,True
122662,395,15565,55.0,False
67056,808,48681,75.0,True
122141,706,16211,80.0,True
142670,397,37758,50.0,False
89510,835,48384,80.0,True
39329,454,3392,40.0,False
120096,800,36755,90.0,True
60595,407,28898,25.0,False
64675,339,28799,35.0,False
133262,420,29539,55.0,False
133710,469,10274,60.0,True
111927,783,31335,85.0,True
107304,785,1643,95.0,True
116662,396,36240,50.0,False
135369,531,23607,55.0,False
55928,676,41927,60.0,True
85723,405,48884,40.0,False
45043,583,49317,40.0,False
101376,450,10393,55.0,False
59466,735,44571,60.0,True
114886,785,24264,90.0,True
49528,584,47618,35.0,False
149067,745,43735,85.0,True
64816,495,26064,35.0,False
138348,559,33951,40.0,False
48643,580,41977,30.0,False
39359,802,12388,70.0,True
37816,481,9627,25.0,False
51747,584,13725,55.0,False
133891,675,34838,60.0,True
70319,451,48772,35.0,False
107993,477,42635,35.0,False
128167,774,6777,90.0,True
138034,473,1684,60.0,True
104607,495,49982,40.0,False
67828,723,15808,70.0,True
87560,394,33105,45.0,False
46299,337,39353,25.0,False
91433,512,23425,45.0,False
120266,567,3060,55.0,False
69857,686,44142,60.0,True
121715,462,28617,55.0,False
82757,767,39900,75.0,True
65683,645,32624,50.0,False
95597,710,39867,50.0,False
100776,433,44477,45.0,False
94722,705,11835,75.0,True
87377,541,14324,50.0,False
40543,652,7547,50.0,False
108385,548,7279,60.0,True
35224,703,36003,40.0,False
146578,540,25191,55.0,False
86626,441,33764,45.0,False
126276,454,19675,55.0,False
72247,829,7975,85.0,True
109129,464,21907,50.0,False
62816,732,4572,75.0,True
33390,643,36063,40.0,False
41970,453,1455,40.0,False
60005,588,3611,60.0,True
118381,603,2542,75.0,True
139570,414,24412,45.0,False
142789,741,19002,90.0,True
105392,681,3509,80.0,True
106955,645,42729,65.0,True
32719,743,8630,65.0,True
130238,683,38574,75.0,True
118117,346,40624,50.0,False
137665,432,19007,55.0,False
65325,526,5176,50.0,False
105529,698,32169,75.0,True
35273,515,35880,25.0,False
130022,385,14602,55.0,False
129125,470,41911,50.0,False
52962,540,25594,35.0,False
91669,596,12706,65.0,True
98021,728,40272,65.0,True
115394,701,15752,80.0,True
87963,845,22892,85.0,True
66458,493,42708,20.0,False
53788,323,22300,35.0,False
106720,823,13650,95.0,True
87132,630,9693,65.0,True
113202,547,12591,55.0,False
136724,550,31291,45.0,False
94451,727,18041,75.0,True
41959,599,27109,30.0,False
91605,406,10567,50.0,False
75607,647,10302,65.0,True
83523,550,18039,50.0,False
73687,443,10700,45.0,False
72081,462,38200,35.0,False
117835,431,10602,60.0,True
43710,451,39288,10.0,False
142424,652,43195,60.0,True
51079,473,35421,35.0,False
73228,529,10836,45.0,False
83955,312,49906,40.0,False
120921,819,5403,100.0,True
94942,835,17251,90.0,True
67777,767,12628,70.0,True
116846,365,9686,60.0,True
82488,352,21896,45.0,False
136635,520,40209,50.0,False
129680,767,1032,95.0,True
102102,826,19596,95.0,True
34809,486,32954,10.0,False
89614,742,45104,75.0,True
41542,537,14973,30.0,False
71224,458,22218,40.0,False
63082,633,34847,50.0,False
72372,783,20897,75.0,True
45194,702,28336,35.0,False
131259,767,18970,75.0,True
82976,324,22092,45.0,False
143365,815,29842,95.0,True
97449,781,4014,90.0,True
138124,684,4887,80.0,True
30150,783,9800,55.0,False
116200,606,38623,65.0,True
143949,322,10205,50.0,False
101118,519,13067,55.0,False
90552,443,8811,55.0,False
84165,747,3102,90.0,True
37104,377,38047,20.0,False
54586,374,45823,35.0,False
97952,486,43456,40.0,False
77419,600,1416,70.0,True
111609,634,35889,65.0,True
129148,456,13376,50.0,False
95338,370,22460,50.0,False
111973,440,29812,45.0,False
87939,749,27160,80.0,True
129613,828,8975,100.0,True
36764,725,13516,55.0,False
56680,730,27234,55.0,False
65003,534,46954,30.0,False
101987,346,10223,55.0,False
47172,339,5009,35.0,False
67752,729,12299,70.0,True
87424,412,11641,35.0,False
145454,639,2867,75.0,True
121521,473,11365,55.0,False
93532,725,36174,70.0,True
45915,431,22160,25.0,False
33783,500,9246,30.0,False
112578,589,41305,60.0,True
109806,832,34875,90.0,True
134767,335,26233,55.0,False
61365,543,11609,45.0,False
123032,715,30629,80.0,True
50758,645,23102,50.0,False
70730,364,24948,40.0,False
102199,423,37075,50.0,False
31792,707,34482,50.0,False
102384,838,40382,85.0,True
83476,470,25541,45.0,False
42217,455,36443,25.0,False
59451,731,32230,60.0,True
140284,513,49068,50.0,False
149659,464,16890,55.0,False
44871,372,15831,30.0,False
90482,582,22461,50.0,False
45396,605,9183,50.0,False
114896,690,17741,75.0,True
139070,835,7753,95.0,True
50181,731,4712,75.0,True
95323,636,28501,60.0,True
123926,744,44622,85.0,True
68254,343,40430,30.0,False
96698,669,39018,55.0,False
122459,771,38574,85.0,True
65838,521,38154,35.0,False
84459,559,24500,45.0,False
139408,464,14721,55.0,False
93242,811,6824,95.0,True
91894,403,48313,35.0,False
61946,571,47359,35.0,False
89871,414,13438,50.0,False
102255,482,27081,50.0,False
48958,648,35919,40.0,False
80277,631,15734,65.0,True
54983,524,17079,40.0,False
108561,794,29767,85.0,True
96616,709,42107,65.0,True
127818,741,25263,90.0,True
145255,629,47034,65.0,True
47892,533,48192,25.0,False
143249,354,31162,55.0,False
39150,358,23780,25.0,False
66208,328,47767,35.0,False
131276,611,22661,70.0,True
133547,622,1444,75.0,True
141989,465,49008,50.0,False
84387,806,48753,75.0,True
74548,785,10077,80.0,True
133247,392,13095,60.0,True
96550,836,17893,75.0,True
65018,841,1824,75.0,True
137551,493,42712,50.0,False
30336,481,29881,25.0,False
67072,619,20099,50.0,False
125164,645,30797,70.0,True
69132,545,33162,35.0,False
139769,401,35068,45.0,False
106931,589,21992,65.0,True
106011,384,33143,35.0,False
116499,356,35573,40.0,False
94178,349,36015,30.0,False
143411,820,35339,95.0,True
49476,490,15520,30.0,False
88529,419,20034,35.0,False
100592,533,25365,50.0,False
93483,617,14426,65.0,True
75236,799,17608,85.0,True
73573,372,42785,30.0,False
102340,562,45623,45.0,False
129991,704,14246,75.0,True
101228,534,3492,60.0,True
79441,748,49388,70.0,True
89682,625,3867,70.0,True
72176,773,14149,70.0,True
143980,643,44123,65.0,True
54727,625,4716,60.0,True
121422,679,3518,80.0,True
61300,422,15714,40.0,False
104946,589,45932,60.0,True
80196,765,32400,70.0,True
60613,697,17856,65.0,True
142199,532,27360,50.0,False
131652,763,30090,90.0,True
83841,551,15218,50.0,False
35720,718,25563,50.0,False
71704,352,14068,45.0,False
127609,324,46479,50.0,False
91993,502,10875,50.0,False
122435,336,45314,45.0,False
149725,665,14304,70.0,True
136352,786,23191,90.0,True
79968,845,41520,80.0,True
80604,416,44507,35.0,False
116991,474,2307,60.0,True
133860,803,45024,90.0,True
137577,607,45392,65.0,True
115461,385,24246,55.0,False
49936,496,34647,25.0,False
94923,613,18243,65.0,True
34852,332,9562,30.0,False
46547,336,46566,25.0,False
95836,435,23691,50.0,False
107356,626,34344,60.0,True
73515,366,11092,45.0,False
143993,372,11239,60.0,True
43154,424,4680,30.0,False
144581,743,45931,85.0,True
140761,807,40679,90.0,True
87711,381,12524,50.0,False
43069,377,13333,30.0,False
98937,603,40423,55.0,False
149333,307,43915,50.0,False
89890,740,6239,90.0,True
32011,568,48654,25.0,False
124692,620,36777,65.0,True
48894,632,27426,40.0,False
83736,442,21756,45.0,False
144154,488,15220,50.0,False
115823,462,20891,55.0,False
50232,799,44633,60.0,True
39807,540,34997,25.0,False
91537,842,19474,90.0,True
132436,364,2160,60.0,True
64737,787,19384,75.0,True
74375,534,47406,35.0,False
111691,823,7264,100.0,True
120794,368,30457,50.0,False
82098,360,32047,45.0,False
115175,627,32765,65.0,True
40527,602,49065,30.0,False
141642,733,46917,60.0,True
73065,380,25158,40.0,False
141718,621,8061,75.0,True
118389,630,2111,70.0,True
142635,684,37053,60.0,True
99942,589,22234,65.0,True
79808,467,47783,40.0,False
71505,804,27251,80.0,True
112155,512,30392,50.0,False
124203,324,4439,60.0,True
146318,627,22164,70.0,True
129536,369,3629,60.0,True
93956,676,34367,70.0,True
144344,823,26455,95.0,True
100912,702,8809,85.0,True
34705,342,26392,20.0,False
110931,610,24654,70.0,True
38968,617,1810,55.0,False
60771,700,40440,60.0,True
112727,300,3044,60.0,True
119705,463,7372,50.0,False
67667,322,20494,30.0,False
59817,331,32228,35.0,False
127880,791,5147,90.0,True
41846,722,12470,40.0,False
86881,324,44990,40.0,False
42903,745,37630,60.0,True
129663,767,31964,90.0,True
113066,655,27673,70.0,True
122260,717,24614,80.0,True
144370,468,3802,60.0,True
43173,442,14488,30.0,False
88153,560,37074,40.0,False
51805,704,35283,60.0,True
120964,459,46478,50.0,False
69251,613,16848,60.0,True
148413,602,8934,75.0,True
33794,732,24430,50.0,False
36028,789,42629,60.0,True
72516,561,46916,35.0,False
134352,802,2790,100.0,True
37355,384,17081,25.0,False
68452,335,22159,40.0,False
76984,328,34180,40.0,False
79131,349,17593,50.0,False
86450,340,20024,50.0,False
49080,305,26382,25.0,False
62007,805,15990,80.0,True
99621,321,47426,40.0,False
84008,746,37522,75.0,True
104177,549,10012,55.0,False
119364,682,37527,75.0,True
133877,537,14267,50.0,False
53600,415,35377,35.0,False
52280,791,14995,75.0,True
52946,372,10575,40.0,False
40350,468,17191,25.0,False
109887,361,29303,40.0,False
144142,430,32415,55.0,False
80140,594,33580,45.0,False
111226,340,25216,55.0,False
119539,634,21194,70.0,True
61566,801,23440,80.0,True
95230,825,15931,90.0,True
149646,496,22954,55.0,False
106435,442,46110,45.0,False
48758,832,12364,65.0,True
60433,645,12998,60.0,True
90443,427,25678,45.0,False
113611,583,34496,65.0,True
63289,747,26354,70.0,True
90236,410,36945,40.0,False
63466,361,1645,45.0,False
117404,573,37216,50.0,False
31231,692,14313,50.0,False
147821,397,17134,55.0,False
135464,303,16648,55.0,False
90981,383,27773,45.0,False
148123,510,45126,50.0,False
67700,752,40751,70.0,True
118815,512,15282,55.0,False
101643,780,2590,95.0,True
50706,690,2343,75.0,True
39681,575,25025,25.0,False
87898,690,24892,60.0,True
75293,556,6194,55.0,False
107014,534,27834,50.0,False
69210,595,36909,50.0,False
113746,368,7652,60.0,True
85615,551,1573,55.0,False
120480,703,9844,85.0,True
62780,773,17108,75.0,True
89878,300,19822,50.0,False
140795,832,24195,95.0,True
69599,470,33974,35.0,False
56111,722,26072,60.0,True
80422,760,39694,70.0,True
141848,798,27164,90.0,True
93335,551,10537,50.0,False
43979,379,40206,25.0,False
61091,498,21338,40.0,False
79986,523,42331,40.0,False
104963,591,25115,60.0,True
77049,337,44667,40.0,False
105341,750,48936,80.0,True
68780,525,3745,40.0,False
121655,455,28978,55.0,False
68696,794,5331,85.0,True
32875,650,41422,40.0,False
138794,839,11197,100.0,True
116275,744,32679,85.0,True
81879,607,17884,60.0,True
65976,456,7461,45.0,False
31061,466,41832,25.0,False
104177,457,28146,50.0,False
143386,705,39562,75.0,True
119889,634,39892,65.0,True
132014,394,46703,45.0,False
127605,389,3649,60.0,True
36428,474,26615,25.0,False
149356,366,31299,55.0,False
109482,332,26781,55.0,False
127671,600,43827,65.0,True
95107,546,31230,40.0,False
139161,589,22805,70.0,True
148509,609,47472,65.0,True
148349,350,3056,60.0,True
67512,760,9709,80.0,True
131677,468,17423,55.0,False
134708,584,14255,70.0,True
60162,645,1179,60.0,True
109569,580,35791,65.0,True
135110,340,30815,55.0,False
76179,364,32097,40.0,False
58705,528,30443,35.0,False
113442,560,26874,55.0,False
54920,740,4130,75.0,True
111381,352,33547,50.0,False
62850,636,12615,60.0,True
118835,321,7518,55.0,False
129035,465,28947,55.0,False
124493,370,5995,55.0,False
130593,576,12729,55.0,False
116400,584,6457,75.0,True
119241,318,41654,45.0,False
139882,659,2952,75.0,True
47927,795,39427,50.0,False
112345,696,22116,80.0,True
42735,646,28232,25.0,False
148410,439,32026,55.0,False
112242,551,21451,55.0,False
114717,564,25876,50.0,False
35167,607,27664,25.0,False
70492,402,24758,35.0,False
133364,380,16172,45.0,False
87779,604,37199,55.0,False
34373,395,44115,25.0,False
105965,715,36518,70.0,True
77823,489,43499,40.0,False
125991,473,49356,50.0,False
47224,804,36885,65.0,True
41813,652,9926,50.0,False
149226,730,17711,80.0,True
68680,422,44976,35.0,False
72823,436,15295,45.0,False
127973,409,23371,55.0,False
84460,687,44222,65.0,True
53021,492,44637,35.0,False
56318,361,31064,35.0,False
47322,736,1902,65.0,True
133089,760,14167,90.0,True
100701,317,16363,55.0,False
144879,679,35211,80.0,True
77953,364,38169,35.0,False
99579,841,1220,90.0,True
95771,792,13675,85.0,True
149732,504,42212,50.0,False
65720,500,17048,40.0,False
138851,533,29234,55.0,False
51567,344,14432,40.0,False
63681,519,15317,45.0,False
149806,760,14702,90.0,True
138093,546,3894,60.0,True
93156,721,22675,70.0,True
135708,665,30645,70.0,True
68684,460,16349,35.0,False
127853,760,15786,90.0,True
144084,606,46007,65.0,True
74396,683,3302,75.0,True
135412,457,28200,50.0,False
45095,845,44287,65.0,True
91385,519,49065,25.0,False
39869,418,46515,20.0,False
48449,438,4462,40.0,False
128848,375,16826,55.0,False
59571,439,12685,35.0,False
142740,830,10687,100.0,True
118647,468,45652,50.0,False
124924,331,6481,60.0,True
118395,400,29768,50.0,False
82089,620,25841,55.0,False
140853,451,40344,50.0,False
135458,813,41740,80.0,True
103048,302,44387,45.0,False
77942,842,10827,90.0,True
41836,678,44340,40.0,False
133636,340,41961,50.0,False
81717,838,13108,85.0,True
31824,427,37424,25.0,False
64663,810,17319,80.0,True
100329,367,10273,55.0,False
46199,321,16906,30.0,False
89609,557,6384,55.0,False
78311,597,3773,70.0,True
118188,600,13561,55.0,False
128174,843,34109,75.0,True
118125,639,48546,55.0,False
64362,598,16651,55.0,False
106619,563,39477,50.0,False
79941,396,47616,40.0,False
137795,546,39883,45.0,False
113695,340,27650,45.0,False
78689,698,7246,80.0,True
44201,327,2926,40.0,False
118452,313,17016,55.0,False
60647,725,1201,75.0,True
91797,378,21396,50.0,False
33280,531,16161,25.0,False
111205,499,12180,55.0,False
145898,337,46574,50.0,False
103584,645,16574,70.0,True
72992,431,28952,25.0,False
149964,699,27072,80.0,True
109964,628,49834,60.0,True
59015,821,37063,75.0,True
114889,446,41709,50.0,False
38285,305,35590,25.0,False
113283,539,43279,50.0,False
137984,348,34252,55.0,False
90852,763,17727,85.0,True
149195,684,44042,75.0,True
121891,602,10514,75.0,True
69608,405,20294,25.0,False
115097,410,13121,55.0,False
83516,717,41777,50.0,False
45292,752,12397,65.0,True
48320,670,43610,50.0,False
35943,303,23589,25.0,False
34877,450,27622,25.0,False
69893,691,38546,60.0,True
94569,736,7439,75.0,True
45220,557,13585,30.0,False
42739,341,2930,40.0,False
60775,364,4614,45.0,False
146294,326,4140,50.0,False
100457,629,4560,75.0,True
47781,753,43078,60.0,True
80940,751,30012,80.0,True
89459,721,45000,60.0,True
78629,693,4125,80.0,True
117881,846,18222,85.0,True
127404,666,47852,65.0,True
121289,775,1697,95.0,True
100804,688,8380,85.0,True
84935,653,25640,55.0,False
106983,350,48578,45.0,False
127290,396,29256,55.0,False
125236,825,12161,100.0,True
50253,849,12953,75.0,True
146052,648,49139,65.0,True
84379,548,8535,50.0,False
115841,323,33297,50.0,False
42978,712,33536,50.0,False
139273,447,6528,60.0,True
94139,674,1972,80.0,True
110694,374,35264,50.0,False
83492,847,45686,80.0,True
66666,638,3222,65.0,True
34288,819,20127,60.0,True
120476,762,42029,85.0,True
78566,665,12733,65.0,True
58477,491,2718,50.0,False
88115,806,41005,80.0,True
88287,432,21979,50.0,False
60947,708,43175,60.0,True
142125,699,25965,80.0,True
77537,480,49920,40.0,False
43022,500,10198,35.0,False
119873,845,49454,85.0,True
78147,405,23294,45.0,False
101364,794,12658,90.0,True
148187,651,35717,70.0,True
114518,674,2681,85.0,True
77012,799,45571,75.0,True
37936,376,8418,35.0,False
82184,338,6636,55.0,False
66160,519,28491,35.0,False
54878,411,19578,35.0,False
46011,361,40653,20.0,False
141153,656,27358,70.0,True
138028,818,28231,95.0,True
89600,822,23104,85.0,True
42015,594,12650,45.0,False
116870,326,9921,45.0,False
57801,537,5767,50.0,False
114109,370,14654,40.0,False
113819,402,19606,55.0,False
108269,447,33740,50.0,False
32799,306,9502,30.0,False
36629,838,15315,65.0,True
133126,429,14119,55.0,False
73713,686,49384,45.0,False
61925,774,23610,60.0,True
46505,658,32462,40.0,False
133150,458,38435,40.0,False
104000,546,48812,40.0,False
56896,479,5149,50.0,False
38992,490,2918,40.0,False
138765,475,7606,60.0,True
130290,447,16496,55.0,False
102641,615,18483,70.0,True
57152,596,17196,40.0,False
106858,484,30283,50.0,False
58305,371,11622,35.0,False
136568,802,47394,90.0,True
143992,400,9828,60.0,True
60539,345,18387,40.0,False
73064,681,44735,60.0,True
131498,506,2136,60.0,True
49340,628,8174,50.0,False
133369,395,2496,55.0,False
148034,610,14031,75.0,True
108116,725,31808,70.0,True
30371,455,8573,30.0,False
66342,354,8547,45.0,False
142513,485,3742,55.0,False
48964,748,17297,65.0,True
47038,689,23106,50.0,False
100807,453,19484,55.0,False
62853,645,1572,65.0,True
134662,498,46916,50.0,False
52871,653,9401,60.0,True
44408,667,37024,40.0,False
116646,565,5911,55.0,False
143567,790,16126,90.0,True
33379,322,28023,25.0,False
47275,307,15538,30.0,False
31947,808,37990,65.0,True
76955,680,19680,70.0,True
133544,772,29454,75.0,True
133341,535,7578,60.0,True
61186,313,34872,30.0,False
107182,410,23460,45.0,False
72437,773,47702,70.0,True
32068,582,33245,40.0,False
52838,745,12909,80.0,True
64782,808,2945,90.0,True
36868,750,17660,60.0,True
46614,546,10058,35.0,False
127218,638,42080,65.0,True
85176,427,17535,40.0,False
98955,303,21646,50.0,False
44896,813,3483,80.0,True
127735,804,42869,90.0,True
38330,599,7688,50.0,False
92422,796,32450,80.0,True
88756,827,44891,80.0,True
131976,570,11822,60.0,True
77453,356,11378,35.0,False
97271,825,40024,80.0,True
107812,755,2468,95.0,True
44293,708,18041,50.0,False
89245,750,34216,80.0,True
96039,785,21984,85.0,True
59038,606,40038,50.0,False
110623,576,11836,55.0,False
35683,788,44554,60.0,True
125321,733,8372,85.0,True
132659,529,22843,55.0,False
149111,731,47006,75.0,True
143636,739,2679,85.0,True
116363,695,10328,85.0,True
98347,428,1022,55.0,False
69535,813,15939,85.0,True
90036,755,40448,75.0,True
114323,554,24445,55.0,False
34082,538,14981,25.0,False
37972,628,37457,40.0,False
92781,609,33479,55.0,False
141057,580,2851,75.0,True
82640,828,9308,90.0,True
85872,710,31259,70.0,True
119928,531,22394,55.0,False
44150,705,46644,50.0,False
94260,635,23300,65.0,True
123375,359,46052,50.0,False
149236,380,28687,45.0,False
88138,554,27921,40.0,False
39632,325,39936,25.0,False
147868,685,25578,80.0,True
40589,351,22422,25.0,False
72219,801,30038,75.0,True
109730,496,34188,50.0,False
49442,690,9572,60.0,True
38609,655,16001,30.0,False
46540,601,12864,45.0,False
66046,623,41191,40.0,False
111830,557,35957,50.0,False
112978,705,32535,75.0,True
106724,579,30236,45.0,False
101874,468,4504,60.0,True
123343,654,46641,65.0,True
72622,677,18349,65.0,True
79925,559,24725,45.0,False
108301,778,23186,85.0,True
99541,758,19708,85.0,True
68652,511,16918,45.0,False
89469,688,45897,65.0,True
96263,696,17183,65.0,True
109354,632,48132,60.0,True
86387,612,1774,60.0,True
42999,751,32075,60.0,True
133952,560,17671,55.0,False
121983,670,46117,65.0,True
44996,546,43182,25.0,False
141777,735,39425,75.0,True
115814,792,38930,80.0,True
115316,337,6868,60.0,True
145042,508,37486,50.0,False
130789,811,2971,100.0,True
102264,827,4235,100.0,True
124481,535,12516,40.0,False
143441,330,34287,55.0,False
58183,311,36896,30.0,False
86370,596,21927,60.0,True
89186,441,13778,50.0,False
146403,768,27494,90.0,True
59949,688,29674,50.0,False
84239,702,25311,70.0,True
74424,757,36497,70.0,True
138451,342,35261,50.0,False
89441,601,37304,50.0,False
82262,315,35600,40.0,False
84524,374,24860,30.0,False
125631,765,25710,75.0,True
42463,765,42357,60.0,True
70966,305,38462,35.0,False
85936,420,31183,45.0,False
70963,489,5890,45.0,False
117177,712,10028,85.0,True
63408,376,30443,25.0,False
79060,572,9643,45.0,False
50006,626,29515,50.0,False
120023,318,49124,35.0,False
